Clean_Name,Recommendation
Apple - Apple Scab,Use a sulfur or copper-based fungicide at bud break. Prune and destroy fallen leaves to reduce overwintering spores.,,
Apple - Black Rot,Prune out and destroy infected limbs and dead wood. Apply general-purpose fungicide (e.g., Captan) during bloom and at 7-14 day intervals.,
Apple - Cedar Apple Rust,Plant resistant varieties. Apply fungicides containing myclobutanil or propiconazole at bloom and during moist periods. Remove nearby cedar trees if possible.,,
Apple - Healthy,No action needed. Continue routine care and monitoring.,,
Background (No Leaves),No action needed. This image is not of a leaf.,,
Blueberry - Healthy,No action needed. Continue routine care and monitoring.,,
Cherry - Powdery Mildew,Apply horticultural oil or sulfur-based fungicide as soon as symptoms appear. Ensure good air circulation around the canopy.,,
Cherry - Healthy,No action needed. Continue routine care and monitoring.,,
Corn - Cercospora/Gray Leaf Spot,Apply a fungicide containing triazoles or strobilurins when disease severity reaches the threshold (usually at tasseling). Rotate crops annually.,,
Corn - Common Rust,For severe outbreaks, apply a fungicide containing propiconazole or pyraclostrobin. Use resistant corn hybrids if available.,
Corn - Northern Leaf Blight,Apply fungicides (e.g., strobilurins) from late-whorl to tasseling stages. Use crop rotation and tillage to bury infected residue.,
Corn - Healthy,No action needed. Continue routine care and monitoring.,,
Grape - Black Rot,Apply protective fungicides (e.g., mancozeb or captan) every 7–10 days from pre-bloom through veraison. Remove all infected berries and canes.,
Grape - Esca (Black Measles),Prune out all symptomatic wood. Apply wood protectant sealants to large pruning wounds. Use cultural practices to reduce stress.,,
Grape - Isariopsis Leaf Spot,Apply fungicides containing copper or sulfur as a preventative measure during the growing season. Ensure proper vine ventilation.,,
Grape - Healthy,No action needed. Continue routine care and monitoring.,,
Orange - Citrus Greening (HLB),There is no cure. Manage Asian Citrus Psyllid (ACP) vectors with systemic insecticides (e.g., imidacloprid). Remove infected trees to prevent spread.,
Peach - Bacterial Spot,Apply copper sprays early in the season. Prune to improve air circulation and use resistant varieties.,,
Peach - Healthy,No action needed. Continue routine care and monitoring.,,
Pepper Bell - Bacterial Spot,Apply copper sprays starting when leaves emerge. Use disease-free seeds and transplants. Avoid overhead irrigation.,,
Pepper Bell - Healthy,No action needed. Continue routine care and monitoring.,,
Potato - Early Blight,Apply fungicides containing chlorothalonil every 7–10 days starting at bloom. Use crop rotation and adequate fertilization.,,
Potato - Late Blight,Apply systemic fungicides (e.g., fluazinam, mandipropamid) immediately upon forecast or detection. Destroy infected plant material completely.
Potato - Healthy,No action needed. Continue routine care and monitoring.,,
Raspberry - Healthy,No action needed. Continue routine care and monitoring.,,
Soybean - Healthy,No action needed. Continue routine care and monitoring.,,
Squash - Powdery Mildew,Apply fungicides (e.g., containing sulfur or potassium bicarbonate) weekly. Use drip irrigation instead of overhead watering.,
Strawberry - Leaf Scorch,Apply foliar fungicides such as copper or captan. Remove infected older leaves and ensure good soil drainage.,,
Strawberry - Healthy,No action needed. Continue routine care and monitoring.,,
Tomato - Bacterial Spot,Apply copper-based fungicides weekly. Avoid working near plants when they are wet to prevent spread.,,
Tomato - Early Blight,Apply protective fungicides (e.g., chlorothalonil) when the first spots appear. Rotate crops and remove lower leaves near the soil.,
Tomato - Late Blight,Use prescribed systemic fungicides immediately. Use certified disease-free transplants and destroy all infected debris.,,
Tomato - Leaf Mold,Apply fungicides containing chlorothalonil or copper. Ensure good ventilation in greenhouses or high-density plantings.,,
Tomato - Septoria Leaf Spot,Apply chlorothalonil or copper-based sprays every 7–14 days. Remove infected leaves immediately.,,
Tomato - Spider Mites (Two-Spotted),Apply horticultural oils or insecticidal soaps. For severe cases, use selective miticides. Increase humidity if possible.,
Tomato - Target Spot,Apply mancozeb or chlorothalonil fungicides. Increase air circulation and reduce leaf wetness.,,
Tomato - Yellow Leaf Curl Virus,Control whitefly vectors using insecticides (e.g., permethrin). Remove and destroy all infected plants.,
Tomato - Mosaic Virus,There is no chemical cure. Remove infected plants. Disinfect tools with a 10% bleach solution after handling infected material.,,
Tomato - Healthy,No action needed. Continue routine care and monitoring.,,
